pressure_bin,temp_adjusted,psal_adjusted,juld,year,month,day,time,latitude,longitude,source_file,region,salinity_mean,salinity_std,temp_mean,temp_std,salinity_z,temp_z,salinity_flag,temp_flag
"(1100, 1150]",4.687,34.354,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc,Southeast Indian Ocean,34.32229084848485,1.6934302972650335,4.35434720969697,0.40568323910892984,0.01872480465618423,0.8199815970551104,normal,normal
"(1200, 1250]",4.024,34.377,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc,Southeast Indian Ocean,34.34351659748428,1.7268772244061064,4.025038156603774,0.4085848564557429,0.01938956750514561,-0.0025408592300245275,normal,normal
"(1300, 1350]",3.645,34.424,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc,Southeast Indian Ocean,34.364286358974354,1.7429854934978446,3.728813909615385,0.38989163350454487,0.03425940218573552,-0.2149671919400341,normal,normal
"(1400, 1450]",3.315,34.463,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc,Southeast Indian Ocean,34.387524864516124,1.7467760170476871,3.473891724516129,0.34200487776876687,0.04320825036941009,-0.4645890595266813,normal,normal
"(1500, 1550]",3.117,34.511,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc,Southeast Indian Ocean,34.40611243046357,1.7681999905767367,3.2427533874172183,0.2804603922102917,0.059318838420657855,-0.4483819851572029,normal,normal
"(1600, 1650]",2.974,34.551,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc,Southeast Indian Ocean,34.42929202,1.7757715527364437,3.047402314,0.2262972087771067,0.06853808408657802,-0.3243624364465678,normal,normal
"(1700, 1750]",2.836,34.588,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc,Southeast Indian Ocean,34.44924325165563,1.7692745373477474,2.8688773609271525,0.1693927155896444,0.0784257871886719,-0.19408957942913202,normal,normal
"(1800, 1850]",2.753,34.624,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc,Southeast Indian Ocean,34.46283059459459,1.7889563299410558,2.7107114054054056,0.1300286421983358,0.09009130223470585,0.32522522637812945,normal,normal
"(1900, 1950]",2.659,34.658,2020-09-01 11:45:17.000001792,2020,9,1,11:45:17.000001,-38.22,116.9312,nodc_R1901302_273.nc,Southeast Indian Ocean,34.495391417266184,1.8105290747715486,2.5709651007194245,0.10474171240341298,0.08981274313660781,0.8404951309322559,normal,normal
"(0, 50]",13.6282,35.264297,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,34.91688817751479,1.8463329815012561,19.549177393491124,5.405627529352638,0.18816152122393878,-1.095335807237944,normal,normal
